Data point,Time of Sample,Population
0,1972,3550
1,1973,4571
2,1974,4060
3,1975,3608
4,1976,3415
5,1977,2986
6,1978,3093
7,1979,3097
8,1980,4089
9,1981,2996
10,1982,2922
11,1983,2734
12,1984,2756
13,1985,2928
14,1986,2959
15,1987,2503
16,1988,2079
17,1989,1887
18,1990,1646
19,1991,2119
