Data point,Time of Sample,Population
0,1934,8
1,1935,10
2,1936,25
3,1937,16
6,1940,9
7,1941,16
8,1942,17
9,1943,22
10,1944,16
11,1945,20
12,1946,29
13,1947,21
14,1948,16
15,1949,22
16,1950,20
17,1951,13
18,1952,22
19,1953,39
20,1954,25
21,1955,13
22,1956,21
23,1957,25
24,1958,44
25,1959,70
26,1960,92
27,1961,85
28,1962,52
29,1963,57
30,1964,61
31,1965,66
32,1966,62
33,1967,44
34,1968,38
35,1969,62
36,1970,59
37,1971,47
38,1972,55
39,1973,18
40,1974,64
41,1975,61
42,1976,70
