Data point,Time of Sample,Population
0,1952,1
1,1953,0.5
2,1954,1
3,1955,2
4,1956,1
5,1957,1
6,1958,3
7,1959,4
8,1960,0.5
9,1961,0
10,1962,0
11,1963,1
12,1964,2
13,1965,0.5
14,1966,2
15,1967,3
16,1968,2
17,1969,1
18,1970,3
19,1971,4
20,1972,3
21,1973,4
22,1974,6
23,1975,3
24,1976,3
