Data point,Time of Sample,Population
0,1977,963
1,1978,826
2,1979,1087
3,1980,1434
4,1981,1505
5,1982,1744
6,1983,1619
7,1984,1421
8,1985,2181
9,1986,2769
10,1987,2826
11,1988,2823
12,1989,2437
13,1990,2410
14,1991,1883
