Data point,Time of Sample,Population
0,1966,23
1,1967,22
2,1968,22
8,1974,23
9,1975,30
10,1976,29
11,1977,27
12,1978,28
13,1979,31
14,1980,36
15,1981,41
16,1982,42
17,1983,42
18,1984,41
19,1985,42
20,1986,41
21,1987,43
22,1988,43
23,1989,39
24,1990,36
