Data point,Time of Sample,Population
0,1949,1
1,1950,1
2,1951,1
3,1952,2
4,1953,1
5,1954,3
6,1955,2
7,1956,7
8,1957,5
9,1958,12
10,1959,15
11,1960,11
12,1961,11
13,1962,9
14,1963,2
15,1964,6
16,1965,1
17,1966,1
18,1967,0.5
19,1968,0.5
20,1969,0.5
21,1970,0
22,1971,0
23,1972,0.5
24,1973,0
25,1974,0.5
26,1975,0
27,1976,0
