Data point,Time of Sample,Population
0,1961,263362
1,1962,309743
2,1963,356124
3,1964,397624
4,1965,439124
5,1966,461208
6,1967,483292
7,1968,535663
8,1969,588034
9,1970,640406
10,1971,692777
11,1972,773014
12,1973,906411
13,1974,1039808
14,1975,1173206
15,1976,1306603
16,1977,1440000
17,1978,1248934
18,1979,1293457
19,1980,1337979
20,1981,1250000
21,1982,1208711
22,1983,1200000
23,1984,1337849
24,1985,1320000
25,1986,1146340
