Data point,Time of Sample,Population
0,1927,1
1,1928,0
7,1934,1
8,1935,1
9,1936,2
10,1937,1
12,1939,1
13,1940,0
14,1941,0
15,1942,1
16,1943,1
17,1944,1
18,1945,2
19,1946,0
20,1947,0
21,1948,0
22,1949,1
23,1950,2
24,1951,1
25,1952,2
26,1953,2
27,1954,4
28,1955,5
29,1956,4
30,1957,4
31,1958,6
32,1959,10
33,1960,5
34,1961,9
35,1962,8
36,1963,10
37,1964,14
38,1965,12
39,1966,13
40,1967,7
41,1968,6
42,1969,9
43,1970,8
44,1971,6
45,1972,8
46,1973,7
47,1974,13
48,1975,8
49,1976,6
